----------------------------------------------------------------------------------------------------
Loaded from: mnist_q.pth
----------------------------------------------------------------------------------------------------
BASELINE
Test set: Average loss: 0.0503, Accuracy: 9856/10000 (99%)
MnistNetwork(
  (conv1): Conv2d(1, 10, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(10, 20, kernel_size=(5, 5), stride=(1, 1))
  (conv2_drop): Dropout2d(p=0.5)
  (fc1): Linear(in_features=320, out_features=50, bias=True)
  (fc2): Linear(in_features=50, out_features=10, bias=True)
)
FLOPS: 935040.0
Episode: 24 | Iteration: 0 | Acc.: 0.7228 | FLOPS: 374784.0
Episode: 24 | Iteration: 1 | Acc.: 0.8942 | FLOPS: 374784.0
Episode: 24 | Iteration: 2 | Acc.: 0.4953 | FLOPS: 374784.0
Episode: 24 | Iteration: 3 | Acc.: 0.846 | FLOPS: 374784.0
Episode: 24 | Iteration: 4 | Acc.: 0.4535 | FLOPS: 374784.0
Episode: 24 | Iteration: 5 | Acc.: 0.9591 | FLOPS: 561536.0
Episode: 24 | Iteration: 6 | Acc.: 0.7814 | FLOPS: 468160.0
Episode: 24 | Iteration: 7 | Acc.: 0.6705 | FLOPS: 281408.0
Episode: 24 | Iteration: 8 | Acc.: 0.8943 | FLOPS: 561536.0
Episode: 24 | Iteration: 9 | Acc.: 0.5913 | FLOPS: 374784.0
Episode: 25 | Iteration: 0 | Acc.: 0.8679 | FLOPS: 468160.0
Episode: 25 | Iteration: 1 | Acc.: 0.8653 | FLOPS: 468160.0
Episode: 25 | Iteration: 2 | Acc.: 0.811 | FLOPS: 468160.0
Episode: 25 | Iteration: 3 | Acc.: 0.6622 | FLOPS: 468160.0
Episode: 25 | Iteration: 4 | Acc.: 0.622 | FLOPS: 468160.0
Episode: 25 | Iteration: 5 | Acc.: 0.8808 | FLOPS: 374784.0
Episode: 25 | Iteration: 6 | Acc.: 0.5831 | FLOPS: 468160.0
Episode: 25 | Iteration: 7 | Acc.: 0.8538 | FLOPS: 374784.0
Episode: 25 | Iteration: 8 | Acc.: 0.8835 | FLOPS: 374784.0
Episode: 25 | Iteration: 9 | Acc.: 0.7842 | FLOPS: 468160.0
Episode: 26 | Iteration: 0 | Acc.: 0.9114 | FLOPS: 748288.0
Episode: 26 | Iteration: 1 | Acc.: 0.8517 | FLOPS: 374784.0
Episode: 26 | Iteration: 2 | Acc.: 0.975 | FLOPS: 748288.0
Episode: 26 | Iteration: 3 | Acc.: 0.726 | FLOPS: 561536.0
Episode: 26 | Iteration: 4 | Acc.: 0.893 | FLOPS: 561536.0
Episode: 26 | Iteration: 5 | Acc.: 0.5885 | FLOPS: 374784.0
Episode: 26 | Iteration: 6 | Acc.: 0.9079 | FLOPS: 654912.0
Episode: 26 | Iteration: 7 | Acc.: 0.9584 | FLOPS: 561536.0
Episode: 26 | Iteration: 8 | Acc.: 0.6162 | FLOPS: 188032.0
Episode: 26 | Iteration: 9 | Acc.: 0.941 | FLOPS: 654912.0
Episode: 27 | Iteration: 0 | Acc.: 0.8525 | FLOPS: 468160.0
Episode: 27 | Iteration: 1 | Acc.: 0.315 | FLOPS: 281408.0
Episode: 27 | Iteration: 2 | Acc.: 0.615 | FLOPS: 281408.0
Episode: 27 | Iteration: 3 | Acc.: 0.6585 | FLOPS: 561536.0
Episode: 27 | Iteration: 4 | Acc.: 0.675 | FLOPS: 468160.0
Episode: 27 | Iteration: 5 | Acc.: 0.7065 | FLOPS: 468160.0
Episode: 27 | Iteration: 6 | Acc.: 0.7443 | FLOPS: 374784.0
Episode: 27 | Iteration: 7 | Acc.: 0.8315 | FLOPS: 374784.0
Episode: 27 | Iteration: 8 | Acc.: 0.8633 | FLOPS: 468160.0
Episode: 27 | Iteration: 9 | Acc.: 0.9041 | FLOPS: 468160.0
Episode: 28 | Iteration: 0 | Acc.: 0.7906 | FLOPS: 374784.0
